feature,mean,std,min,max,lag1_autocorr,missing_count
0,0.0012470546849094831,0.9851622007737195,-5.199337582605575,5.19933758270342,0.2926226936990932,0
1,0.0226798169441094,0.9941285445497802,-5.199337582605575,5.19933758270342,0.21451441432907867,0
2,-0.0060789526747832045,1.0081778742963634,-5.199337582605575,5.19933758270342,0.45097983186069396,0
3,-0.013577608468695086,1.010984847943412,-5.199337582605575,5.19933758270342,0.39069238557468644,0
4,-0.001518605699237359,0.9909425796188532,-5.199337582605575,5.19933758270342,0.17097485508960605,0
5,0.0064348371112540655,0.9898560636301303,-5.199337582605575,5.19933758270342,0.22554871718677508,0
6,-0.02250691020183302,1.0012931927452478,-5.199337582605575,5.19933758270342,0.30911947004588936,0
7,-0.020070432170516177,0.9973371797974004,-5.199337582605575,5.19933758270342,0.5165833768919372,0
8,-0.013119748718134039,0.9996719586169053,-5.199337582605575,5.19933758270342,0.39114695691694346,0
9,0.011406869943257873,0.9977442101435363,-5.199337582605575,5.19933758270342,0.12704986978007163,0
10,0.0006915360182023438,0.9918831332150853,-5.199337582605575,5.19933758270342,0.22169836923363226,0
11,0.008587986259486225,0.9859184222823583,-5.199337582605575,5.19933758270342,0.29153840969140654,0
12,-0.01083242933992967,0.9929576202514182,-5.199337582605575,4.991136682213876,0.14089991521440148,0
13,0.004510246497081627,1.0014461319270636,-5.199337582605575,3.6839446466134786,0.47364211082558,0
14,0.031032115011390006,0.9988438983350028,-5.199337582605575,5.19933758270342,0.4925008658541704,0
15,-0.0001970575853520747,0.9986069390985552,-5.199337582605575,5.19933758270342,0.28964186321298757,0
16,-0.024389565122917647,0.9913174776711501,-5.199337582605575,5.19933758270342,0.23127271684122666,0
17,-0.015187552078093067,0.9864793323863786,-5.199337582605575,5.19933758270342,0.2441998663703967,0
18,0.02461899902325582,0.9992466128830298,-5.199337582605575,5.19933758270342,0.43619066035698834,0
19,-0.018044763292688337,1.0000083111606164,-3.5250644688814377,5.19933758270342,0.284586418695905,0
20,-0.0034590520562698167,0.9867943743404144,-5.199337582605575,5.19933758270342,0.470748285489961,0
21,-0.0036239876540942514,0.9871774544790825,-5.199337582605575,5.19933758270342,0.10883502340016396,0
22,0.02179732558244097,0.9896865860283587,-5.199337582605575,5.19933758270342,0.29883375074043617,0
23,-0.015975485370532404,0.9898162529910437,-3.400935288275015,5.19933758270342,0.23571325293905018,0
24,-0.010244966356987451,0.9918789384215291,-5.199337582605575,5.19933758270342,0.3404750627737547,0
25,0.00319572552053993,0.9972694332441296,-5.199337582605575,5.19933758270342,0.18747554357231136,0
26,-0.022504970584427162,0.997176665893493,-5.199337582605575,5.19933758270342,0.39833273843958744,0
27,-0.02140774990952078,0.9964914066180803,-5.199337582605575,5.19933758270342,0.3882392206242997,0
28,0.02133385806855036,0.9957213614231216,-5.199337582605575,5.19933758270342,0.3180275964831525,0
29,-0.007823856283751944,0.9966764445306281,-5.199337582605575,5.19933758270342,0.026443718379313735,0
30,0.006495228123724732,1.0026004349595385,-5.199337582605575,5.19933758270342,0.3685067953038206,0
31,-0.018510186762988625,1.001943805687916,-5.199337582605575,5.19933758270342,0.35773562691077787,0
